Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
945-1400-5-ND,RECOM POWER INC,RAC01-3.3SC,RAC0X,1,0,0,8 Weeks,CONV AC/DC 1W 3.3V OUT SGL T/H,,RoHS Compliant,Lead free,Unaffected Jun-2015
P7208-ND,PANASONIC ELECTRONIC COMPONENTS,ERZ-V10D271,R5,1,0,0,15 Weeks,VARISTOR 247V 3.5KA DISC 10MM,,RoHS Compliant,Lead free,Unaffected Dec-2014
ADE7953ACPZ-ND,ANALOG DEVICES INC,ADE7953ACPZ,,1,0,0,9 Weeks,IC ENERGY METERING 1PH 28LFCSP,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
Q282-ND,QUALTEK,739W-X2/20,20A VERSION,1,0,0,17 Weeks,OUTLET PWR NEMA 5-20R SNAPIN/IDC,,RoHS Compliant,Lead free,Unaffected Jun-2011
445-1592-1-ND,TDK CORPORATION (VA),C3216X7R1E105K085AA,C12,1,0,0,10 Weeks,CAP CER 1UF 25V X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
709-1074-1-ND,JOHANSON DIELECTRICS INC (VA),6R3R18X106KV4E,C15,1,0,0,8 Weeks,CAP CER 10UF 6.3V X5R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
RMCF0805FT301RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805FT301R,RI1 RI2,2,0,0,10 Weeks,RES SMD 301 OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
311-1.54KCRCT-ND,YAGEO (VA),RC0805FR-071K54L,R1 R2,2,0,0,22 Weeks,RES SMD 1.54K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
RMCF0805FT820RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805FT820R,R6B R6C,2,0,0,10 Weeks,RES SMD 820 OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
P15097CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEE-FTJ681XAP,C4 C8,2,0,0,20 Weeks,CAP ALUM 680UF 20% 6.3V SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
RMCF0805JT150RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT150R,R4 R6 CURRENT LIMIT RESISTOR,2,0,0,10 Weeks,RES SMD 150 OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
